Short_Description_ru,Short_Description,Water_In_Grams,Energy_In_Kilogram_Calorie,Protein_In_Grams,Lipid_Tot_In_Grams,Ash_In_Grams,Carbohydrate_In_Grams,Fiber_TD_In_Grams,Sugar_Tot_In_Grams,Calcium_In_Miligrams,Iron_In_Miligrams,Magnesium_In_Miligrams,Phosphorus_In_Miligrams,Potassium_In_Miligrams,Sodium_In_Miligrams,Zinc_In_Miligrams,Copper_In_Miligrams,Manganese_In_Miligrams,Selenium_In_Micrograms,Vit_C_In_Miligrams,Thiamin_In_Miligrams,Riboflavin_In_Miligrams,Niacin_In_Miligrams,Panto_Acid_In_Miligrams,Vit_B6_In_Miligrams,Folate_Tot_In_Micrograms,Folic_Acid_In_Micrograms,Food_Folate_In_Micrograms,Folate_DFE_In_Micrograms,Choline_Tot_In_Miligrams,Vit_B12_In_Micrograms,Vit_A_In_International_Unit,Vit_A_In_Retinol_Activity_Equivalents,Retinol_In_Micrograms,Alpha_Carot_In_Micrograms,Beta_Carot_In_Micrograms,Beta_Crypt_In_Micrograms,Lycopene_In_Micrograms,Lut_And_Zea_In_Micrograms,Vit_E_In_Miligrams,Vit_D_In_Micrograms,Vit_D_In_International_Unit,Vit_K_In_Micrograms,FA_Sat_In_Grams,FA_Mono_In_Grams,FA_Poly_In_Grams,Cholesterol_In_Miligrams,Gram_Weight_1,Gram_Weight_Descritpion_1,Gram_Weight_2,Gram_Weight_Description_2,Refuse_Percent,Desk3,cluster
"ягненок,австралийский,форш,85% жира / 15% жира,сырой","lamb,australian,ground,85% ln / 15% fat,raw",61.46,255,17.14,20.71,0.82,0.0,0.0,0.0,9.0,1.41,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.926,7.947999999999999,1.119,73.0,113.0,"1 serving,  (4 oz)",0.0,0,0.0,баранина,cluster 10
"ягненок,новая зеландия,имп,филейная отделка,ln,ckd,быстрое жарение","lamb,nz,imp,loin chop,ln,ckd,fast fried",60.21,208,27.43,10.7,1.25,0.41,0.0,0.0,42.0,1.88,27.0,233.0,367.0,84.0,3.48,0.152,0.009000000000000001,7.3,0.0,0.097,0.222,6.651,0.8059999999999999,0.189,0.0,0.0,0.0,0.0,0.0,1.84,20.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.37,0.1,2.0,0.0,4.039,2.745,0.539,85.0,85.0,3 oz,0.0,0,44.0,баранина,cluster 10
"баранина,aus,frsh,ребрышка,обработанная,с костками,ln,1/8"",ckd,жареная","lamb,aus,frsh,rib chop,frnched,bone-in,ln,1/8"",ckd,grilled",56.33,234,32.16,11.68,1.15,0.0,0.0,0.0,11.0,2.36,26.0,216.0,320.0,85.0,3.28,0.134,0.005,15.2,0.0,0.153,0.37,8.93,0.66,0.601,0.0,0.0,0.0,0.0,0.0,1.73,15.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,5.69,4.79,0.648,92.0,85.0,3 oz,241.0,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",45.0,баранина,cluster 10
"баранина,aus,frsh,ребрышка,обработанная,обманутая,с костями,ln,0"",жареная на гриль","lamb,aus,frsh,rib chop,frnched,dnuded,bone-in,ln,0"",grilled",55.36,236,33.17,11.5,1.26,0.0,0.0,0.0,10.0,2.46,28.0,220.0,294.0,85.0,3.79,0.147,0.009000000000000001,15.4,0.0,0.16,0.43,9.14,0.68,0.593,0.0,0.0,0.0,0.0,0.0,1.78,15.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,5.627000000000002,4.695,0.635,103.0,85.0,3 oz,43.0,1 chop,44.0,баранина,cluster 10
"баранина,aus,frsh,ребрышка/релка rst,французская,обвалка,ln,1/8"",raw","lamb,aus,frsh,rib chop/rack rst,frenched,bone-in,ln,1/8"",raw",70.48,147,24.07,5.59,0.96,0.0,0.0,0.0,7.0,1.75,36.0,150.0,209.0,71.0,2.2,0.109,0.004,13.1,0.0,0.127,0.39,7.62,0.65,0.574,0.0,0.0,0.0,0.0,0.0,1.23,17.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,2.532,2.4090000000000003,0.386,66.0,114.0,4 oz,63.0,1 chop,45.0,баранина,cluster 10
"lamb,aus,imp,frsh,comp of rtl cuts,ln&fat,1/8""fat,ckd","lamb,aus,imp,frsh,comp of rtl cuts,ln&fat,1/8""fat,ckd",58.71,256,24.52,16.82,0.98,0.0,0.0,0.0,17.0,1.93,22.0,195.0,301.0,76.0,4.68,0.142,0.013,10.1,0.0,0.123,0.332,5.441,0.816,0.366,0.0,0.0,0.0,0.0,0.0,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.94,6.711,0.66,87.0,85.0,3 oz,270.0,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",22.0,баранина,cluster 10
"lamb,aus,imp,frsh,comp of rtl cuts,ln&fat,1/8""fat,raw","lamb,aus,imp,frsh,comp of rtl cuts,ln&fat,1/8""fat,raw",64.93,229,17.84,16.97,0.88,0.0,0.0,0.0,13.0,1.43,20.0,168.0,284.0,74.0,3.67,0.145,0.011,7.5,0.0,0.133,0.261,4.934,0.557,0.339,0.0,0.0,0.0,0.0,0.0,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.189,6.91,0.718,66.0,28.35,1 oz,453.6,1 lb,20.0,баранина,cluster 10
"lamb,aus,imp,frsh,comp of rtl cuts,ln,1/8""fat,ckd","lamb,aus,imp,frsh,comp of rtl cuts,ln,1/8""fat,ckd",63.75,201,26.71,9.63,1.05,0.0,0.0,0.0,16.0,2.05,24.0,207.0,318.0,80.0,5.14,0.153,0.014,11.0,0.0,0.131,0.36,5.812,0.8759999999999999,0.394,0.0,0.0,0.0,0.0,0.0,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.048,3.857,0.418,87.0,85.0,3 oz,236.0,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",32.0,баранина,cluster 10
"lamb,aus,imp,frsh,comp of rtl cuts,ln,1/8""fat,raw","lamb,aus,imp,frsh,comp of rtl cuts,ln,1/8""fat,raw",73.22,142,20.25,6.18,0.99,0.0,0.0,0.0,12.0,1.59,22.0,188.0,320.0,83.0,4.21,0.165,0.013,8.6,0.0,0.149,0.293,5.595,0.618,0.386,0.0,0.0,0.0,0.0,0.0,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54,2.53,0.276,64.0,28.35,1 oz,453.6,1 lb,34.0,баранина,cluster 10
"lamb, aus, imp, frsh, fat, ckd","lamb,aus,imp,frsh,fat,ckd",24.0,639,9.42,66.4,0.45,0.0,0.0,0.0,27.0,1.11,12.0,114.0,179.0,51.0,1.48,0.065,0.01,5.8,0.0,0.063,0.14,2.89,0.4,0.171,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.751,26.377,2.331,83.0,85.0,3 oz,248.0,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",0.0,баранина,cluster 10
"ягненок, aus, imp, frsh, fat, raw","lamb,aus,imp,frsh,fat,raw",25.08,648,6.27,68.87,0.35,0.0,0.0,0.0,19.0,0.63,7.0,71.0,112.0,33.0,1.06,0.046,0.0,4.0,0.0,0.057,0.107,1.753,0.263,0.111,0.0,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.353,27.975,2.844,77.0,28.35,1 oz,453.6,1 lb,0.0,баранина,cluster 10
"lamb, aus, imp, frsh, foreshank, ln & fat, 1/8 ""fat, ckd, brsd","lamb,aus,imp,frsh,foreshank,ln&fat,1/8""fat,ckd,brsd",60.47,236,24.78,14.44,0.78,0.0,0.0,0.0,16.0,1.79,21.0,167.0,244.0,93.0,6.96,0.116,0.011,8.3,0.0,0.086,0.262,5.013,0.618,0.244,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.794,5.959,0.601,91.0,85.0,3 oz,211.0,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",45.0,баранина,cluster 10
"lamb, aus, imp, frsh, foreshank, ln & fat, 1/8 ""fat, raw","lamb,aus,imp,frsh,foreshank,ln&fat,1/8""fat,raw",68.31,195,18.85,12.68,0.85,0.0,0.0,0.0,12.0,1.38,19.0,158.0,270.0,96.0,5.4,0.092,0.009000000000000001,7.2,0.0,0.094,0.219,5.265,0.623,0.264,0.0,0.0,0.0,0.0,0.0,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.981,5.292999999999998,0.596,67.0,28.35,1 oz,453.6,1 lb,42.0,баранина,cluster 10
"lamb, aus, imp, frsh, foreshank, ln, 1/8 ""fat, ckd, brsd","lamb,aus,imp,frsh,foreshank,ln,1/8""fat,ckd,brsd",66.93,165,27.5,5.22,0.83,0.0,0.0,0.0,14.0,1.91,22.0,177.0,255.0,100.0,7.93,0.125,0.011,9.0,0.0,0.09,0.28300000000000003,5.39,0.657,0.257,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.884,2.338,0.294,92.0,85.0,3 oz,180.0,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",53.0,баранина,cluster 10
"lamb, aus, imp, frsh, forshank, ln, 1/8 ""жир, сырье","lamb,aus,imp,frsh,foreshank,ln,1/8""fat,raw",75.13,123,20.83,3.81,0.93,0.0,0.0,0.0,11.0,1.5,20.0,171.0,295.0,106.0,6.08,0.099,0.01,8.0,0.0,0.1,0.237,5.82,0.68,0.28800000000000003,0.0,0.0,0.0,0.0,0.0,2.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.344,1.712,0.241,66.0,28.35,1 oz,453.6,1 lb,50.0,баранина,cluster 10
"lamb,aus,imp,frsh,leg,bttm,bnless,ln & fat,1/8"" fat,ckd,rstd","lamb,aus,imp,frsh,leg,bttm,bnless,ln & fat,1/8"" fat,ckd,rstd",60.91,219,27.54,12.04,1.13,0.0,0.0,0.0,3.0,2.01,23.0,191.0,279.0,69.0,3.53,0.12,0.005,6.3,0.0,0.14300000000000002,0.514,6.646,0.7659999999999999,0.429,0.0,0.0,0.0,0.0,0.0,2.25,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,5.223,4.668,0.764,106.0,85.0,3 oz,723.0,"1 leg, bottom, boneless",7.0,баранина,cluster 10
"lamb, aus, imp, frsh, leg, bttm, bnless, ln & fat, 1/8 ""fat, raw","lamb,aus,imp,frsh,leg,bttm,bnless,ln & fat,1/8"" fat,raw",67.93,187,20.97,11.43,0.98,0.0,0.0,0.0,3.0,1.76,21.0,161.0,218.0,80.0,2.83,0.099,0.008,9.8,0.0,0.145,0.364,6.363,0.797,0.397,0.0,0.0,0.0,0.0,0.0,1.48,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,5.3610000000000015,4.777,0.772,63.0,114.0,4 oz,989.0,"1 leg, bottom, boneless",5.0,баранина,cluster 10
"lamb,aus,imp,frsh,leg,bttm,bnless,ln,1/8"" fat,ckd,rstd","lamb,aus,imp,frsh,leg,bttm,bnless,ln,1/8"" fat,ckd,rstd",63.87,190,28.6,8.35,1.17,0.0,0.0,0.0,2.0,2.04,23.0,196.0,287.0,70.0,3.67,0.125,0.005,6.4,0.0,0.149,0.54,6.88,0.79,0.441,0.0,0.0,0.0,0.0,0.0,2.45,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,3.224,3.2310000000000003,0.546,107.0,85.0,3 oz,723.0,"1 leg, bottom, boneless",14.0,баранина,cluster 10
"lamb,aus,imp,frsh,нога,cntr slce,bne-in,ln&ft,1/8""ft,ckd,brld","lamb,aus,imp,frsh,leg,cntr slce,bne-in,ln&ft,1/8""ft,ckd,brld",61.99,215,25.54,11.78,1.03,0.0,0.0,0.0,14.0,2.38,25.0,228.0,342.0,65.0,4.95,0.165,0.015,13.5,0.0,0.13,0.4,5.527,0.949,0.44,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.32,4.755,0.526,85.0,85.0,3 oz,0.0,0,7.0,баранина,cluster 10
"баранина, aus, imp, frsh, нога, cntr slice, с костями, ln & fat, 1/8 ""fat, raw","lamb,aus,imp,frsh,leg,cntr slice,bone-in,ln&fat,1/8""fat,raw",68.46,195,19.17,12.56,0.98,0.0,0.0,0.0,10.0,1.81,23.0,199.0,318.0,61.0,3.32,0.14400000000000002,0.015,7.4,0.0,0.145,0.298,5.167000000000002,0.502,0.375,0.0,0.0,0.0,0.0,0.0,2.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.813,5.146,0.591,65.0,28.35,1 oz,0.0,0,6.0,баранина,cluster 10
"ягненок,aus,imp,frsh,нога,слом cntr,кости,ln,1/8"" жир,ckd,brld","lamb,aus,imp,frsh,leg,cntr slice,bone-in,ln,1/8""fat,ckd,brld",64.85,183,26.75,7.68,1.08,0.0,0.0,0.0,13.0,2.48,26.0,237.0,354.0,66.0,5.21,0.173,0.015,14.2,0.0,0.135,0.42,5.725,0.99,0.46,0.0,0.0,0.0,0.0,0.0,3.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.111,3.129,0.39,85.0,85.0,3 oz,0.0,0,14.0,баранина,cluster 10
"баранина,aus,frsh,ребрышки,французский,bne-in,ln & fat,1/8"",жаренный","lamb,aus,frsh,rib chop,frenched,bne-in,ln & fat,1/8"",grilled",49.65,305,28.48,21.2,1.05,0.0,0.0,0.0,11.0,2.24,24.0,199.0,292.0,79.0,3.0,0.119,0.005,12.9,0.0,0.136,0.336,7.825,0.625,0.536,0.0,0.0,0.0,0.0,0.0,1.33,11.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,10.666,8.434,1.23,91.0,85.0,3 oz,54.0,1 chop,29.0,баранина,cluster 10
"баранина, aus, imp, frsh, нога, cntr slice, с костями, ln, 1/8"" жир, сырой","lamb,aus,imp,frsh,leg,cntr slice,bone-in,ln,1/8""fat,raw",73.45,143,20.65,6.08,1.05,0.0,0.0,0.0,9.0,1.94,25.0,214.0,342.0,64.0,3.58,0.156,0.016,8.0,0.0,0.155,0.32,5.56,0.53,0.406,0.0,0.0,0.0,0.0,0.0,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4130000000000003,2.519,0.331,64.0,28.35,1 oz,0.0,0,16.0,баранина,cluster 10
"lamb,aus,frsh,стеллаж,rst,frnched,dnuded,bone-in,ln,0"",ckd,rstd","lamb,aus,frsh,rack,rst,frnched,dnuded,bone-in,ln,0"",ckd,rstd",66.02,175,26.52,7.63,1.0,0.0,0.0,0.0,7.0,1.94,22.0,168.0,230.0,72.0,2.33,0.094,0.004,12.4,0.0,0.14,0.38,7.81,0.65,0.535,0.0,0.0,0.0,0.0,0.0,1.42,12.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,3.54,3.093,0.542,97.0,85.0,3 oz,329.0,1 roast,39.0,баранина,cluster 10
"lamb,aus,frsh,стеллаж,rst,французский,обваленный,ln,1/8"" жир,ckd,rstd","lamb,aus,frsh,rack,rst,frenched,bone-in,ln,1/8"" fat,ckd,rstd",57.93,244,28.01,14.64,1.02,0.0,0.0,0.0,6.0,2.63,22.0,174.0,237.0,67.0,2.98,0.114,0.003,16.5,0.0,0.115,0.42,6.63,0.54,0.556,0.0,0.0,0.0,0.0,0.0,1.5,14.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,6.8020000000000005,6.124,1.024,96.0,85.0,3 oz,447.0,1 roast,47.0,баранина,cluster 10
"баранина,var мясо и субпродукты,селезенка,ckd,brsd","lamb,var meats&by-products,spleen,ckd,brsd",66.38,156,26.46,4.77,2.0,0.0,0.0,0.0,13.0,38.67,21.0,341.0,248.0,58.0,3.94,0.139,0.062,49.8,26.0,0.051,0.316,5.8679999999999986,0.0,0.08,4.0,0.0,4.0,4.0,0.0,5.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58,1.27,0.35,385.0,85.0,3 oz,295.0,"1 unit, cooked (yield from 1 lb raw meat)",0.0,баранина,cluster 10
"баранина,var мясо и субпродукты,поджелудочная железа,сырье","lamb,var meats&by-products,pancreas,raw",73.77,152,14.84,9.82,1.4,0.0,0.0,0.0,8.0,2.3,21.0,400.0,420.0,75.0,1.93,0.061,0.04,34.3,18.0,0.03,0.25,3.7,1.0,0.07,13.0,0.0,13.0,13.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,3.54,0.48,260.0,28.35,1 oz,113.0,4 oz,0.0,баранина,cluster 10
"баранина,var мясо и субпродукты,поджелудочная железа,ckd,brsd","lamb,var meats&by-products,pancreas,ckd,brsd",59.65,234,22.83,15.12,2.15,0.0,0.0,0.0,12.0,2.12,19.0,431.0,291.0,52.0,2.68,0.083,0.043,64.8,20.0,0.02,0.21,2.56,0.85,0.05,13.0,0.0,13.0,13.0,0.0,5.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.84,5.45,0.74,400.0,85.0,3 oz,231.0,"1 unit, cooked (yield from 1 lb raw meat)",0.0,баранина,cluster 10
"баранина,var мясо и субпродукты,механически отделенная,сырье","lamb,var meats&by-products,mechanically separated,raw",58.68,276,14.97,23.54,1.21,0.0,0.0,0.0,162.0,5.9,18.0,337.0,288.0,59.0,3.72,0.058,0.012,20.1,0.0,0.07200000000000001,0.118,2.546,0.0,0.11,5.0,0.0,5.0,5.0,0.0,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.79,8.45,0.76,213.0,28.35,1 oz,227.0,8 oz,0.0,баранина,cluster 10
"баранина,var мясо и субпродукты,легкие,сырье","lamb,var meats&by-products,lungs,raw",79.7,95,16.7,2.6,1.1,0.0,0.0,0.0,10.0,6.4,14.0,219.0,238.0,157.0,1.8,0.254,0.019,17.7,31.0,0.048,0.237,4.124,0.0,0.11,12.0,0.0,12.0,12.0,0.0,3.93,89.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.67,0.35,0.0,28.35,1 oz,113.0,4 oz,24.0,баранина,cluster 10
"баранина,var мясо и субпродукты,легкие,ckd,brsd","lamb,var meats&by-products,lungs,ckd,brsd",75.83,113,19.88,3.1,1.31,0.0,0.0,0.0,12.0,4.57,11.0,188.0,127.0,84.0,1.93,0.234,0.016,21.1,28.0,0.034,0.139,2.428,0.0,0.06,8.0,0.0,8.0,8.0,0.0,2.52,106.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.8,0.43,284.0,85.0,3 oz,381.0,"1 unit, cooked (yield from 1 lb raw meat)",0.0,баранина,cluster 10
"баранина,var мясо и субпродукты,печень,сырье","lamb,var meats&by-products,liver,raw",71.37,139,20.38,5.02,1.44,1.78,0.0,0.0,7.0,7.37,19.0,364.0,313.0,70.0,4.66,6.979,0.184,82.4,4.0,0.34,3.63,16.11,6.13,0.9,230.0,0.0,230.0,230.0,0.0,90.05,24612.0,7391.0,7391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94,1.05,0.75,371.0,28.35,1 oz,113.0,4 oz,0.0,баранина,cluster 10
"баранина,var мясо и субпродукты,печень,ckd,жареная","lamb,var meats&by-products,liver,ckd,pan-fried",56.2,238,25.53,12.65,1.83,3.78,0.0,0.0,9.0,10.2,23.0,427.0,352.0,124.0,5.63,9.83,0.594,116.1,13.0,0.35,4.59,16.68,6.33,0.95,400.0,0.0,400.0,400.0,0.0,85.7,25998.0,7782.0,7777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,2.64,1.89,493.0,85.0,3 oz,322.0,"1 unit, cooked (yield from 1 lb raw meat)",0.0,баранина,cluster 10
"баранина,var мясо и субпродукты,печень,ckd,brsd","lamb,var meats&by-products,liver,ckd,brsd",56.67,220,30.57,8.81,1.42,2.53,0.0,0.0,8.0,8.28,22.0,420.0,221.0,56.0,7.89,7.074,0.52,111.4,4.0,0.23,4.03,12.15,3.96,0.49,73.0,0.0,73.0,73.0,0.0,76.5,24945.0,7491.0,7491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.41,1.84,1.31,501.0,85.0,3 oz,336.0,"1 unit, cooked (yield from 1 lb raw meat)",0.0,баранина,cluster 10
"lamb,aus,frsh,нога,задняя часть,пятая на,bne-in,ln & ft,1/8"",brsd","lamb,aus,frsh,leg,hindshank,heel on,bne-in,ln & ft,1/8"",brsd",61.85,204,29.52,9.5,0.89,0.0,0.0,0.0,6.0,2.0,19.0,150.0,192.0,84.0,4.09,0.112,0.006999999999999999,14.8,0.0,0.102,0.468,5.1629999999999985,0.7120000000000001,0.394,0.0,0.0,0.0,0.0,0.0,1.39,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,4.293,3.788,0.843,110.0,85.0,3 oz,418.0,"1 leg, hindshank, heel on",50.0,баранина,cluster 10
"ягненок,aus,frsh,нога,задняя рулька,пятка на,кости,ln,1/8"" жир,сырье","lamb,aus,frsh,leg,hindshank,heel on,bone-in,ln,1/8"" fat,raw",74.83,122,22.49,3.53,0.96,0.0,0.0,0.0,4.0,1.58,21.0,163.0,227.0,93.0,3.48,0.1,0.006,12.2,0.0,0.104,0.36,5.54,0.71,0.395,0.0,0.0,0.0,0.0,0.0,1.58,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,1.269,1.335,0.358,54.0,114.0,4 oz,530.0,"1 leg, hindshank, heel on",52.0,баранина,cluster 10
"lamb,aus,frsh,нога,задняя рулька,пятая на косте,ln,1/8"",brsd","lamb,aus,frsh,leg,hindshank,heel on,bone-in,ln,1/8"",brsd",64.87,174,30.73,5.63,0.9,0.0,0.0,0.0,5.0,2.02,19.0,151.0,192.0,86.0,4.28,0.116,0.006999999999999999,15.6,0.0,0.104,0.49,5.26,0.73,0.402,0.0,0.0,0.0,0.0,0.0,1.51,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,2.241,2.293,0.635,111.0,85.0,3 oz,418.0,"1 leg, hindshank, heel on",54.0,баранина,cluster 10
"баранина,var мясо и субпродукты,селезна,сырье","lamb,var meats&by-products,spleen,raw",78.15,101,17.2,3.1,1.3,0.0,0.0,0.0,9.0,41.89,21.0,280.0,358.0,84.0,2.84,0.121,0.051,32.4,23.0,0.047,0.348,7.895,0.0,0.11,4.0,0.0,4.0,4.0,0.0,5.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.81,0.23,250.0,28.35,1 oz,113.0,4 oz,0.0,баранина,cluster 10
"баранина,var мясо и субпродукты,язык,ckd,brsd","lamb,var meats&by-products,tongue,ckd,brsd",57.86,275,21.57,20.28,0.73,0.0,0.0,0.0,10.0,2.63,16.0,134.0,158.0,67.0,2.99,0.21,0.033,28.0,7.0,0.08,0.42,3.69,0.34,0.17,3.0,0.0,3.0,3.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.83,10.0,1.25,189.0,85.0,3 oz,255.0,"1 unit, cooked (yield from 1 lb raw meat)",0.0,баранина,cluster 10
"баранина,var мясо и субпродукты,язык,сырой","lamb,var meats&by-products,tongue,raw",66.6,222,15.7,17.17,0.92,0.0,0.0,0.0,9.0,2.65,21.0,184.0,257.0,78.0,2.32,0.212,0.049,15.0,6.0,0.15,0.38,4.65,0.97,0.18,4.0,0.0,4.0,4.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.63,8.46,1.06,156.0,28.35,1 oz,113.0,4 oz,16.0,баранина,cluster 10
"ягненок,aus,frsh,нога,рысаж без кости,ln и жир,1/8"" жир,сырье","lamb,aus,frsh,leg,trotter off,bone-in,ln & fat,1/8"" fat,raw",68.68,175,21.95,9.73,0.96,0.0,0.0,0.0,3.0,2.09,21.0,156.0,225.0,75.0,2.72,0.118,0.005,6.9,0.0,0.132,0.37,6.251,0.7040000000000001,0.426,0.0,0.0,0.0,0.0,0.0,1.56,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,4.464,3.934,0.6920000000000001,76.0,114.0,4 oz,2674.0,"1 leg, trotter off",21.0,баранина,cluster 10
"ягненок,aus,frsh,нога,рысаж без кости,ln & fat,1/8"" fat,rstd","lamb,aus,frsh,leg,trotter off,bone-in,ln & fat,1/8"" fat,rstd",54.95,226,30.15,11.64,1.14,0.08,0.0,0.0,4.0,2.41,24.0,203.0,291.0,77.0,3.9,0.136,0.004,8.4,0.0,0.14,0.524,6.783,0.7490000000000001,0.391,0.0,0.0,0.0,0.0,0.0,2.52,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,5.483,4.926,0.878,113.0,85.0,3 oz,1808.0,"1 leg, trotter off",29.0,баранина,cluster 10
"ягненок,aus,frsh,нога,рысаж без кости,ln,1/8"" жир,ckd,rstd","lamb,aus,frsh,leg,trotter off,bone-in,ln,1/8"" fat,ckd,rstd",58.24,215,32.08,9.59,1.2,0.0,0.0,0.0,4.0,2.55,25.0,215.0,308.0,80.0,4.15,0.146,0.004,8.8,0.0,0.149,0.56,7.19,0.79,0.413,0.0,0.0,0.0,0.0,0.0,2.75,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,4.359,4.17,0.77,117.0,85.0,3 oz,1808.0,"1 leg, trotter off",35.0,баранина,cluster 10
"lamb,aus,frsh,стеллаж,rst,frenched,bne-in,ln & ft,1/8"",rstd","lamb,aus,frsh,rack,rst,frenched,bne-in,ln & ft,1/8"",rstd",53.33,291,25.96,20.77,0.97,0.0,0.0,0.0,7.0,2.47,21.0,166.0,228.0,65.0,2.81,0.105,0.004,14.8,0.0,0.108,0.387,6.1960000000000015,0.532,0.511,0.0,0.0,0.0,0.0,0.0,1.27,12.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,10.111,8.435,1.372,97.0,85.0,3 oz,447.0,1 roast,37.0,баранина,cluster 10
